Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"0/TYB",2.8190376553684476e-4,2.8024437222629793e-4,2.867198208346963e-4,6.717454925218188e-6,2.2840533060728005e-6,1.2878517450683624e-5
"0/Hand",3.2803476401604704e-4,3.258484656456858e-4,3.341358954552561e-4,8.76898448025107e-6,3.6229982735343353e-6,1.771586079955316e-5
"0/SYB",2.7080702999606725e-3,2.6914000729098917e-3,2.7383780697360634e-3,5.687947799318705e-5,3.487923930699335e-5,9.419517972034274e-5
"0/Uni",6.961286176927388e-4,6.935823072679341e-4,6.999433149583638e-4,7.986005201140977e-6,5.719450024038206e-6,1.1418123966519907e-5
"1/TYB",2.6109459195286034e-4,2.606272915378213e-4,2.6214363370090723e-4,1.7216286874542377e-6,8.429369702178807e-7,3.1418828939615052e-6
"1/Hand",3.009671027306468e-4,3.0013263770379135e-4,3.0236900397576387e-4,2.6903646595971992e-6,1.5171811756120737e-6,3.615104011186778e-6
"1/SYB",2.486588976718485e-3,2.4708914974704383e-3,2.5149798611179e-3,5.3264035695370905e-5,3.286349390548932e-5,8.560817074046754e-5
"1/Uni",6.528079618699849e-4,6.455028166063129e-4,6.669366468675435e-4,2.5435099407107738e-5,1.5149030651661278e-5,4.366582035627253e-5
"2/TYB",1.4814742482811601e-5,1.4753682555800135e-5,1.4916178751011174e-5,2.0219908512492641e-7,1.371713533373688e-7,3.182275195421355e-7
"2/Hand",1.5183913832695423e-5,1.5072853026227863e-5,1.540627688216635e-5,3.9299833968756877e-7,2.3072852995126966e-7,6.820725020386994e-7
"2/SYB",1.146539794619788e-4,1.1369857119226999e-4,1.1777769633653488e-4,4.0487500200010745e-6,1.2396509287093186e-6,8.358806386050316e-6
"2/Uni",2.3531586943449927e-5,2.324043578450002e-5,2.418793926709423e-5,1.052380407713339e-6,2.514192897697193e-7,1.6618553439841214e-6
"3/TYB",2.5326994214620853e-5,2.522209003981617e-5,2.5510523538622595e-5,3.4824310280415326e-7,2.2262847473275473e-7,5.23445684293778e-7
"3/Hand",2.5645287614315745e-5,2.554432252907883e-5,2.5770923839477092e-5,2.920620312319932e-7,2.4525016627769813e-7,3.612877037431398e-7
"3/SYB",2.0616174107417464e-4,2.051746881566942e-4,2.0751436914627752e-4,2.981823037456072e-6,2.2484020014915445e-6,3.842930517376069e-6
"3/Uni",4.26955888304731e-5,4.236246052615601e-5,4.324773337435105e-5,1.0949506486292663e-6,7.228059705495899e-7,1.8131668259718893e-6
"4/TYB",1.0299446377903224e-4,1.0281326565891504e-4,1.0327102933079004e-4,5.880454614539442e-7,3.114687274657157e-7,9.981360902036831e-7
"4/Hand",1.037040643563325e-4,1.0272177981043402e-4,1.0587410691448232e-4,3.5151482080920517e-6,8.675571506728631e-7,5.57063744150714e-6
"4/SYB",1.0135352720506492e-3,1.0091912855394185e-3,1.0211026777513326e-3,1.4576834714945217e-5,9.494858396353338e-6,2.4577998220223246e-5
"4/Uni",2.015491362971564e-4,2.006558613541226e-4,2.0281593368078272e-4,2.748640977121758e-6,2.1078069262822944e-6,3.9653413202705905e-6
"5/TYB",2.0641090665012596e-4,2.0545723233371974e-4,2.0857574734836816e-4,3.5178390017343953e-6,1.4226751799235495e-6,6.116757086096321e-6
"5/Hand",2.080473943427205e-4,2.0729017693549396e-4,2.0931005913764241e-4,2.475328391870299e-6,1.5061010654009246e-6,3.3825617179641416e-6
"5/SYB",1.9449877956882122e-3,1.9380259731784464e-3,1.9555258968845008e-3,2.199133219611893e-5,1.5600259201828132e-5,3.0616300068329504e-5
"5/Uni",4.706819924836357e-4,4.680975350861748e-4,4.75135651541253e-4,8.629007057591333e-6,5.530568781923216e-6,1.3253766750422126e-5
"6/TYB",1.292574813649539e-5,1.2865553854373837e-5,1.3006041361199273e-5,1.7952911365589658e-7,1.4491162469604454e-7,2.4033348180130784e-7
"6/Hand",1.3253553594801238e-5,1.3176067556593231e-5,1.3362575908699497e-5,2.36655788087168e-7,1.7802492240394915e-7,3.3533958420399577e-7
"6/SYB",9.994121865870862e-5,9.891418477950188e-5,1.0246478761904514e-4,3.880461857326217e-6,1.2144336255968898e-6,6.9892264731704854e-6
"6/Uni",2.1122201111424587e-5,2.093228838117472e-5,2.1466345998362215e-5,6.495306227173354e-7,3.2942751908290436e-7,9.77058414232675e-7
"7/TYB",2.123522976413369e-4,2.1015884671360258e-4,2.1528007779270412e-4,6.579704874732604e-6,5.121136361968294e-6,8.248697105737279e-6
