Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"20/Hand",2.9925053499639037e-3,2.9584114931523802e-3,3.0394261263310914e-3,6.795706063227951e-5,4.7102377937591844e-5,9.7390414677803e-5
"20/SYB",1.474139145836234e-2,1.4648670472949744e-2,1.5070695199817418e-2,2.6741306368215686e-4,3.460168363003575e-5,4.443053281597073e-4
"20/Uni",2.744802884086966e-2,2.7317566194385287e-2,2.7829641618579627e-2,3.595979820149637e-4,6.873975586184614e-5,5.984417369508185e-4
"21/Hand",5.005187311023474e-3,4.971927919238806e-3,5.0935452364385125e-3,8.678161540474303e-5,2.7452426697807222e-5,1.4448157369235538e-4
"21/SYB",2.388913086876273e-2,2.3805469789355993e-2,2.4082154550403353e-2,2.0629538683183057e-4,7.831615851738234e-5,3.4059900452063183e-4
"21/Uni",4.444276741966605e-2,4.437066964134574e-2,4.458228997215628e-2,1.6557464354933457e-4,8.012654168244178e-5,2.639885522747634e-4
"22/Hand",8.142489709705113e-3,8.106893815845251e-3,8.192676820605992e-3,7.145604975578382e-5,4.4285205500989943e-5,1.0507425334848709e-4
"22/SYB",3.96811907671392e-2,3.9572877206653354e-2,3.995246342644095e-2,2.771123645264726e-4,9.295613961571649e-5,4.6063308697754583e-4
"22/Uni",7.276851586326957e-2,7.246548584923149e-2,7.33390038393438e-2,6.821800314461389e-4,3.655638347476436e-4,1.0322974699762987e-3
"23/Hand",1.3960379876941443e-2,1.3868660249561071e-2,1.4237231530994177e-2,2.4988830236156393e-4,5.570531604444507e-5,4.154209013726017e-4
"23/SYB",6.392285279259086e-2,6.376556805595755e-2,6.415259293541313e-2,3.1908905318262404e-4,1.8304689126296016e-4,5.025312742419065e-4
"23/Uni",0.11844593934044242,0.1181710188768804,0.1189147179506719,5.978018475555561e-4,1.729563447133683e-4,7.761000473629883e-4
"24/Hand",2.4178165712207555e-2,2.4024147310107945e-2,2.4541706361621618e-2,3.828525777470908e-4,1.4853807867140403e-4,6.259151231822152e-4
"24/SYB",0.10462843827232719,0.10421645096763969,0.10560750416740775,1.0231283921323814e-3,4.120624850707721e-4,1.6687709000177337e-3
"24/Uni",0.1922202294252813,0.19127866677269342,0.19398800782188774,2.0766755693438425e-3,5.38176289746707e-4,3.0342571648959756e-3
"25/Hand",3.7685865678638214e-2,3.7508005418628455e-2,3.793045929893851e-2,3.535387086262797e-4,2.4989893660599656e-4,5.068548567502564e-4
"25/SYB",0.17280623368248343,0.17176584652885796,0.174658102311939,2.225932888902968e-3,2.1835766735788428e-4,3.0053620924412106e-3
"25/Uni",0.3106228297136724,0.3103514140032231,0.3111966793917119,6.408489251858992e-4,2.96853146381339e-4,1.0152584201324317e-3
