Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"20/Hand",2.129792820261075e-3,2.06979955320175e-3,2.2097870219212317e-3,3.380019022893635e-4,2.564375050692273e-4,4.0936264406891547e-4
"20/SYB",2.6479763637827e-2,2.6379768501566005e-2,2.657977069501693e-2,5.218332727162774e-4,4.999970013919741e-4,6.224456776823857e-4
"20/Uni",1.8797751772862213e-3,1.799780975626065e-3,1.9297882426243561e-3,3.266080154735017e-4,2.564252990549845e-4,4.0201236344012125e-4
"21/Hand",3.5997792590122956e-3,3.4997793543797267e-3,3.6897894251805086e-3,4.923703940655267e-4,4.6481951470471624e-4,5.024222986168879e-4
"21/SYB",4.303977931623275e-2,4.2949776302621895e-2,4.31697746623021e-2,5.490148175026052e-4,3.999934092430027e-4,8.017542369967247e-4
"21/Uni",3.1097861636143463e-3,3.0597802508335833e-3,3.179800163553311e-3,3.14484916382766e-4,2.3869099207110846e-4,3.8616579798244336e-4
"22/Hand",6.1097856867771885e-3,6.059784542368006e-3,6.179797302530361e-3,3.1445420694645106e-4,2.3867323424701128e-4,3.861151522585404e-4
"22/SYB",6.97497888911229e-2,6.959979261045272e-2,6.993977035169419e-2,8.453683444077626e-4,6.931097090614307e-4,1.0866905626464667e-3
"22/Uni",5.359782825754239e-3,5.2697798121434e-3,5.459780346201017e-3,4.82419740509769e-4,4.461960472340519e-4,5.009064920187344e-4
"23/Hand",9.56977809552963e-3,9.449791561410981e-3,9.689786087320405e-3,6.07291659874003e-4,5.412347019327428e-4,6.893276577514085e-4
"23/SYB",0.11311978782300763,0.11291979278211411,0.11338978255872548,1.1658462940226857e-3,8.873964424077998e-4,1.6683573333889574e-3
"23/Uni",8.819782387064058e-3,8.729791294382165e-3,8.889796387003017e-3,4.1144722974447134e-4,3.487223993452174e-4,4.8365968092229663e-4
"24/Hand",1.90797802317601e-2,1.9019782196329202e-2,1.916979516629989e-2,3.673719063016642e-4,2.3868171971806314e-4,5.453585894390947e-4
"24/SYB",0.18619978393201642,0.1859197780001621,0.1865497824061376,1.608049988361394e-3,1.3607701928965506e-3,1.9585381590181876e-3
"24/Uni",1.7769770275400228e-2,1.7609772335336758e-2,1.796977008466537e-2,9.085035171283675e-4,7.528360146959926e-4,1.1306937930728646e-3
"25/Hand",3.0599777351663665e-2,3.0379788528726654e-2,3.0899772297189786e-2,1.2949075941571357e-3,1.0215332709279778e-3,1.6740549506380096e-3
"25/SYB",0.3052697678912145,0.304919762264536,0.3056797477114659,1.9428763721337102e-3,1.677992729934994e-3,2.4510209094420893e-3
"25/Uni",2.8329791675851895e-2,2.8179807316110684e-2,2.85597869265538e-2,9.217326411849807e-4,6.415679928999557e-4,1.3592458411140534e-3
