Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"20/Hand",3.219794016863619e-3,3.149784785296236e-3,3.309792262102876e-3,4.1632871351545076e-4,3.588580341005948e-4,4.648186326062901e-4
"20/SYB",2.6169794779803062e-2,2.6099804621722022e-2,2.6249800902392185e-2,3.7752128714669766e-4,3.144508345548436e-4,4.352220920904306e-4
"20/Uni",6.1197912512081e-3,6.069771033312592e-3,6.1997735319393e-3,3.266103694846818e-4,2.5642763756165185e-4,4.0201954606759814e-4
"21/Hand",5.149790030504974e-3,5.089787226702486e-3,5.229789000536717e-3,3.5885603395624445e-4,2.8760911652482064e-4,4.2294102047980056e-4
"21/SYB",4.255979178526572e-2,4.242977974989581e-2,4.272980568983723e-2,7.826321928864031e-4,6.415736199191989e-4,1.0278305940303852e-3
"21/Uni",9.89978430845907e-3,9.819790106798917e-3,9.95978472807578e-3,3.333648093395025e-4,2.5644875200978235e-4,4.1638031057074257e-4
"22/Hand",8.609784823443207e-3,8.509777766253267e-3,8.709777575518402e-3,5.10405363576117e-4,4.8523552746459293e-4,5.751675378721375e-4
"22/SYB",6.895979760267903e-2,6.881979821303065e-2,6.91198026952999e-2,7.643585883985237e-4,6.301365026971487e-4,9.987342396434384e-4
"22/Uni",1.613978264906577e-2,1.6059750300432947e-2,1.6239784937884128e-2,4.718495236460969e-4,3.8600936736945954e-4,5.92570170367737e-4
"23/Hand",1.4609795790697842e-2,1.448980448820761e-2,1.4739800673510349e-2,6.339765036131603e-4,5.587507134652447e-4,7.860203026211894e-4
"23/SYB",0.11197979806044268,0.11177980301954914,0.1121898114500301,1.0538978992005639e-3,9.564258078042653e-4,1.1694335437679797e-3
"23/Uni",2.6969791632677827e-2,2.685979722120932e-2,2.7089785319353858e-2,5.765522752774599e-4,4.7682888463939196e-4,7.176510357485203e-4
"24/Hand",2.5509797316576748e-2,2.5379804354693208e-2,2.567979453184775e-2,7.452947412461162e-4,5.945999803643928e-4,1.021943721172667e-3
"24/SYB",0.18390980122664144,0.18363981125929513,0.18418980954268144,1.4077395906003413e-3,1.2621487652833298e-3,1.6166721551695684e-3
"24/Uni",4.494980214216878e-2,4.476979611494711e-2,4.524981139280967e-2,1.1752885439612823e-3,8.147046500762515e-4,2.1057835569732544e-3
"25/Hand",4.219979880430868e-2,4.198982356169393e-2,4.2459808569933685e-2,1.1891715993206748e-3,9.373746574160466e-4,1.4815563356904112e-3
"25/SYB",0.3016797911939876,0.3012397801695125,0.3021298062620419,2.3044946024959826e-3,2.10518436034344e-3,2.5340281785352116e-3
"25/Uni",7.238979933836631e-2,7.223980067351032e-2,7.257979987242391e-2,8.633285528530772e-4,7.089394994240366e-4,1.1134956966391894e-3
